iter	MAE	RMSE
97	0.9288040557	1.195794518
98	0.9269117208	1.192937322
99	0.9242569475	1.189340979
100	0.9221657569	1.186489281
101	0.9206610087	1.183867196
102	0.9176567725	1.179698932
103	0.9154677462	1.176951304
104	0.9134170185	1.174419676
105	0.9114036576	1.171529622
106	0.9093760757	1.168648969
107	0.9068422479	1.165438431
108	0.9040452384	1.161962169
109	0.9018405266	1.159036629
110	0.8995902151	1.156189701
111	0.8974299162	1.153005386
112	0.8949228376	1.150319327
113	0.8930862901	1.147801433
114	0.890815182	1.145158282
115	0.8888175181	1.142220913
116	0.8871787997	1.139739879
117	0.8852789428	1.137225055
118	0.8834787896	1.134743728
119	0.8812622444	1.131357409
120	0.8790633694	1.128489169
121	0.8777332118	1.126639981
122	0.8755117505	1.12384136
123	0.8731786292	1.120935171
124	0.8723321309	1.119892257
125	0.8702809458	1.117273928
126	0.8687858545	1.115052221
127	0.8660658956	1.111763782
128	0.8638873405	1.109521669
129	0.8611872602	1.106217895
130	0.859074612	1.103632515
131	0.8573751702	1.101430771
132	0.8558696413	1.098968337
133	0.8542759312	1.097156315
134	0.8527813979	1.095142895
135	0.8515061422	1.093763395
136	0.8496943447	1.091204555
137	0.8474777643	1.088246901
138	0.845661222	1.085872628
139	0.8439963834	1.083735459
140	0.8418997899	1.081396298
141	0.8402128284	1.078834976
142	0.8384831122	1.076418578
143	0.8378011478	1.075442265
144	0.8361131511	1.073188995
145	0.8338407695	1.070453219
146	0.8314385037	1.067352218
147	0.8301497029	1.065044895
148	0.8285597394	1.063147418
149	0.8273632204	1.06133854
150	0.8257794488	1.059118334
151	0.8234779744	1.056124548
152	0.8219643942	1.053912601
153	0.8206357337	1.051968999
154	0.8187678688	1.049471205
155	0.8172761707	1.047614298
156	0.8154227737	1.045355112
157	0.8143785581	1.043897686
158	0.8128691324	1.041412449
159	0.8124678438	1.040692276
160	0.8111456674	1.038870755
161	0.8099077012	1.037491119
162	0.8091105606	1.036432847
163	0.807480426	1.034078282
164	0.8056668647	1.03142191
165	0.8047691401	1.029958699
166	0.8040187742	1.028835516
167	0.8017813162	1.026219207
168	0.7995448587	1.023421197
169	0.7980458678	1.02135185
170	0.7963472234	1.019091204
171	0.7952358184	1.017487425
172	0.7939444867	1.015667495
173	0.7928700642	1.014062531
174	0.7907925567	1.011614127
175	0.7889808489	1.009118699
176	0.7880867169	1.007766102
177	0.7862620855	1.005525603
178	0.7851721373	1.003907758
179	0.7841050253	1.002153975
180	0.7827098544	1.000474324
181	0.7818681749	0.9989645019
182	0.7807971163	0.9974885944
183	0.7795513842	0.9959499339
184	0.7779605797	0.9938452349
185	0.7769152746	0.9922668793
186	0.7759718828	0.9910747632
187	0.7743872574	0.9890451848
188	0.773160872	0.9873554651
189	0.7716272471	0.9852936785
190	0.7691881474	0.9819842594
191	0.7681839074	0.9803450727
192	0.7674034847	0.9791569384
193	0.7658694438	0.9773644167
194	0.7648854401	0.9759125328
195	0.7638542136	0.9746594689
196	0.7624184534	0.9726354336
197	0.7605354591	0.9701945401
198	0.7587681644	0.9678038628
199	0.7570649644	0.9655539246
200	0.7556792952	0.9637858112
201	0.7545129848	0.9622774283
202	0.753644251	0.9612526245
203	0.7531090529	0.9603028863
204	0.7517522602	0.9585170292
205	0.7503270715	0.9563881984
206	0.7490821254	0.9544932622
207	0.7474195586	0.9523624516
208	0.7464421676	0.951089373
209	0.7451591645	0.9490974922
210	0.7436309216	0.9471059292
211	0.7427466543	0.9458272287
212	0.7414900887	0.9442084986
213	0.7402767565	0.9427683146
214	0.7389713507	0.9409026898
215	0.7372445608	0.9384653026
216	0.7355708021	0.936169568
217	0.7347667888	0.9351553951
218	0.7332545001	0.9330870259
219	0.7324143143	0.9317945935
220	0.7306598975	0.9297018222
221	0.7298270259	0.9285401431
222	0.7289811601	0.9273140855
223	0.7279110188	0.9257819824
224	0.7269253641	0.9245403642
225	0.7251988883	0.9222456438
226	0.7246108112	0.9213723046
227	0.7239485452	0.9205697723
228	0.7223513204	0.9184628841
229	0.7205588969	0.9162153836
230	0.7194015651	0.9142999828
231	0.7184134024	0.9129958778
232	0.7174603637	0.9117295006
233	0.7158233551	0.9096892475
234	0.7142382708	0.9077914001
235	0.7128898268	0.9060167864
236	0.7117164451	0.9046061109
237	0.7109215228	0.9035012912
238	0.7092844016	0.9013181043
239	0.70769343	0.8992341446
240	0.7068673643	0.8980485764
241	0.7055531651	0.8963269448
242	0.7037161956	0.8941985894
243	0.7026801126	0.8930357072
244	0.7012397826	0.8914327125
245	0.6995226605	0.8892838469
246	0.6981189669	0.8876674467
247	0.6972181997	0.8861572526
248	0.6959923279	0.8845619532
249	0.6947287497	0.882901491
250	0.6935965084	0.8815244146
251	0.6922216793	0.8798098625
252	0.6912338361	0.8784947484
253	0.6894104311	0.8759022775
254	0.6886167792	0.8748154974
255	0.6875773112	0.873600761
256	0.6868586365	0.8725453017
257	0.6862874259	0.8716305488
258	0.6852859748	0.8703268942
259	0.6836134257	0.8681657065
260	0.6826470456	0.8669757728
261	0.6812595043	0.8649699018
262	0.6800771779	0.8632001451
263	0.6790371726	0.8619113737
264	0.6779831246	0.8607174114
265	0.6769185994	0.8595078808
266	0.6749683562	0.8569577464
267	0.673799788	0.8552471377
268	0.6729406993	0.8541042634
269	0.6719075452	0.852856345
270	0.6711130091	0.85184168
271	0.6699690896	0.8503233129
272	0.6686680074	0.8488238804
273	0.6676247272	0.8473202538
274	0.6669625937	0.846238733
275	0.6661621697	0.8454269246
276	0.6650226052	0.8440367587
277	0.6634587416	0.8419128158
278	0.6632169432	0.8415178486
279	0.662069813	0.8400990091
280	0.6618687669	0.8397489726
281	0.6612735511	0.8387792783
282	0.6603144002	0.8374656085
283	0.6586714434	0.8353438111
284	0.6579613825	0.8345636757
285	0.6563614043	0.8324336047
286	0.6552871288	0.8309992814
287	0.6543007975	0.8300069899
288	0.6535031453	0.8288226979
289	0.6521377895	0.8272521545
290	0.6510196768	0.8256160765
291	0.6497512486	0.8240409305
292	0.6483583437	0.8225090498
293	0.6469569982	0.8210011967
294	0.6456249885	0.8193572638
295	0.6449573196	0.818484476
296	0.643766613	0.8168169124
297	0.6424500964	0.8153022157
298	0.6417459123	0.8143036758
299	0.6408389564	0.8131396461
